study_id,Accrued,Active Enrolling Date,Closed to Enrollment Date,Disease Site(S),national_sample,local_sample
50172523,9,,,other,0,100
63189614,35,,,other,0,100
71450679,95,,,oncology,152,0
87157617,1,,,other,0,20
19287265,,,,oncology,0,60
42803791,6,,,mental_health,0,0
50417996,24,,,other,0,0
27576819,,,,other,0,60
82866748,3,,,other,10,10
41572302,4,,,other,0,0
79984024,2,,,other,0,0
26236897,7,,,other,3,7
23539642,18,,,oncology,0,0
73994139,39,,,other,0,75
91731124,1,,,oncology,0,0
13083522,5,,,oncology,0,0
71350187,5,,,oncology,0,60
15550682,,,,oncology,0,44
78239576,,,,other,0,0
96662088,5,,,other,0,12
16028730,10,,,other,0,20
43389633,1,,,other,0,19
18404682,3,,,other,0,0
10056972,,,,other,0,0
57406558,7,,,other,0,0
74594000,2,,,oncology,0,0
65809375,1,,,oncology,0,0
46470974,1,,,oncology,0,0
74539432,,,,other,75,0
30065209,24,,,other,30,0
12214519,9,,,other,100,0
24710096,,,,other,0,20
94324547,8,,,other,0,40
86429813,,,,other,0,30
86158282,,,,other,0,10
66723771,,,,unknown,,4
78963246,1,,,other,0,5
78391335,8,,,other,0,10
74721523,3,,,other,0,20
14016175,,,,unknown,,7
83623719,,,,unknown,,25
57215376,1,,,other,0,10
17717186,,,,other,0,6
73359540,,,,other,40,40
87157410,1,,,other,0,10
52415987,59,,,diabetes,0,0
93655074,2,,,diabetes,0,0
31747249,5,,,other,0,0
88165984,4,,,other,0,0
81223418,,,,unknown,,0
76918195,,,,other,0,5
94724030,,,,unknown,,0
36837145,0,,,other,0,0
37514037,24,,,other,0,24
61842557,86,,,other,0,110
69782536,46,,,other,0,600
39313515,2,,,other,2,0
42462348,,,,other,0,10
38814460,7,,,other,0,0
71342248,1,,,other,0,6
90639882,,,,other,0,100
38237568,0,,,other,0,0
11327165,0,,,other,0,0
72208383,,,,oncology,15,0
18501632,,,,oncology,0,0
44851273,3,,,oncology,10,12
85296147,5,,,oncology,0,0
60924399,2,,,oncology,2,4
84995205,,,,oncology,0,4
14377064,4,,,oncology,16,0
59301599,,,,unknown,,0
98508466,,,,unknown,,0
11076266,6,,,oncology,0,0
53535582,6,,,oncology,0,0
42993798,1,,,oncology,0,0
55191712,2,,,oncology,0,0
93604970,1,,,oncology,0,0
84372785,,,,oncology,0,0
44952456,9,,,oncology,0,0
45473755,,,,unknown,,5
18148306,1,,,oncology,0,0
89608383,,,,oncology,0,0
67190853,,,,oncology,10,10
82157381,,,,unknown,,0
18325268,,,,unknown,,0
81485730,,,,unknown,,0
32796886,,,,oncology,0,0
18574822,,,,oncology,0,0
49204420,1,,,oncology,0,0
16691415,,,,oncology,0,0
44974130,1,,,oncology,5,0
39576245,2,,,oncology,0,0
71797912,2,,,oncology,0,0
92225582,8,,,oncology,10,0
69471243,2,,,oncology,0,0
51781734,,,,oncology,5,0
17523069,2,,,oncology,0,0
48153342,2,,,oncology,0,0
36170708,,,,oncology,0,0
10342437,1,,,oncology,4,0
42636332,,,,oncology,0,0
21523412,,,,oncology,0,0
25147448,,,,oncology,0,0
27544883,1,,,oncology,0,0
57585941,,,,oncology,15,0
80474393,,,,oncology,0,0
66048282,,,,oncology,0,0
39678238,,,,oncology,15,0
72429855,,,,oncology,0,0
66531617,,,,oncology,0,0
95842594,,,,oncology,0,0
20861219,,,,oncology,0,0
65983052,,,,oncology,0,0
81350946,1,,,oncology,15,0
22410281,,,,oncology,0,0
67015779,,,,oncology,0,0
